date,0x20240121,,,,,,,,,,,,,,end
title,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,end
level/type,sdp,sdp,cdp/dcp,cdp/dcp,vooc,vooc,svooc,svooc,pd/qc,pd/qc,third-pps,third-pps,third-ufcs,third-ufcs,end
crc32,0xf5539933,NA,0xe4127ac1,NA,0xcdfcfe85,NA,0x38face72,NA,0x1bad3246,NA,0x86a0e25a,NA,0x2f6e945e,NA,end
72,3055,531,783,2141,406,4809,209,7774,600,2703,236,7258,344,5930,end
73,3065,534,851,2140,353,4794,269,7764,668,2703,217,7102,294,5939,end
74,3123,528,841,2140,405,4851,208,7770,623,2697,233,7129,337,5939,end
75,3158,527,843,2140,399,4815,259,7761,669,2690,237,7078,297,5951,end
76,3131,525,830,2134,413,4799,268,7776,680,2687,226,7090,347,5958,end
77,3208,522,842,2135,363,4770,209,7758,679,2682,237,7033,299,5934,end
78,3110,523,840,2134,395,4767,248,7761,665,2678,236,7107,348,5924,end
79,3199,523,851,2129,406,4835,258,7781,612,2664,241,7098,297,5953,end
80,3235,520,842,2128,395,4936,269,7759,667,2664,238,6349,348,5928,end
81,3260,523,901,2125,394,4794,258,7771,670,2655,277,6255,297,5889,end
82,3200,523,833,2119,412,4812,209,7770,725,2653,242,6145,386,4905,end
83,3293,520,892,2120,410,4787,248,7700,669,2642,316,5374,386,4897,end
84,3247,519,843,2114,395,4779,302,7211,670,2637,315,5253,446,3818,end
85,3236,519,840,2116,407,4853,318,6182,669,2631,285,5145,498,3811,end
86,3276,514,840,2111,403,4885,297,6193,610,2619,356,4539,468,3833,end
87,3249,514,899,2116,396,4857,317,6182,740,2614,353,4471,695,2779,end
88,3220,517,901,2107,415,4811,367,6182,671,2608,367,4335,628,2819,end
89,3215,510,889,2102,351,4821,317,6184,669,2599,403,3570,624,2796,end
90,3289,505,850,2102,402,4788,298,6172,619,2592,457,3477,1031,1748,end
91,3348,508,830,2096,415,4779,405,5116,716,2590,407,3332,877,1763,end
92,3213,504,787,2098,451,3978,348,5093,668,2579,631,2206,916,1759,end
93,3289,505,891,2093,501,3963,414,5095,620,2581,556,2303,887,1738,end
94,3254,505,852,2092,457,3821,524,4090,674,2571,601,2276,724,1828,end
95,3219,504,838,2087,531,3012,474,4081,670,2555,503,2335,839,1584,end
96,3178,504,840,2096,590,2933,468,4057,607,2533,531,2282,799,1583,end
97,3159,499,779,2085,551,2928,605,3034,665,2498,623,1640,798,1585,end
98,3189,499,738,2085,513,2726,523,3024,597,2403,631,1583,649,1583,end
99,2468,495,999,2079,639,1883,380,3030,813,2229,655,1524,628,1583,end
end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end
